jam_criteria,jam_end_date,jam_host,jam_name_x,jam_no_joined,jam_no_rating,jam_no_submissions,jam_start_date,jam_url,jam_english,jam_duration,jam_desc_len,jam_name_y,jam_no_illustrations,jam_no_videos,num_hosts
,2017-08-20 23:00:00,613_Buck,August Game Jam 2017,12,0,2,2017-08-19 21:00:00,https://www.itch.io/jam/august-game-jam-2017,u,26.0,303,August Game Jam 2017,0,0,1
,2018-02-25 17:00:00,Gabriel Naves,The Sunday Game Jam 9,2,0,2,2018-02-24 14:00:00,https://www.itch.io/jam/the-sunday-game-jam-9,u,27.0,1222,The Sunday Game Jam 9,0,0,1
,2019-02-06 05:00:00,lolawl2,Retro Adventure Jam,3,0,2,2019-02-04 22:05:00,https://www.itch.io/jam/retro-adventure-jam,u,30.916666666666668,276,Retro Adventure Jam,0,0,1
,2019-06-21 23:00:00,dmdemoura,Geleia Jam 30 horas - Junho,2,0,2,2019-06-20 15:30:00,https://www.itch.io/jam/geleiajam-junho,u,31.5,220,Geleia Jam 30 horas - Junho,0,0,1
,2017-04-25 22:00:00,HannahWebb42,Nashville's 1st Month-Long Game Jam!,2,0,2,2017-04-24 05:00:00,https://www.itch.io/jam/nashville-april-game-jam,u,41.0,549,Nashville's 1st Month-Long Game Jam!,0,0,1
,2017-12-03 15:30:00,Vasrek,FlipJam,9,0,2,2017-12-01 19:00:00,https://www.itch.io/jam/flipjam,u,44.5,1014,FlipJam,0,0,1
,2019-01-20 09:00:00,gamejam4weekend,Game Jam 4 Weekend #8,8,0,2,2019-01-18 12:00:00,https://www.itch.io/jam/gj4w8,u,45.0,2979,Game Jam 4 Weekend #8,0,0,1
,2019-05-05 09:00:00,gamejam4weekend,Game Jam 4 Weekend #11,3,0,2,2019-05-03 12:00:00,https://www.itch.io/jam/gj4w11,u,45.0,3027,Game Jam 4 Weekend #11,0,0,1
,2019-01-27 09:00:00,gamejam4weekend,Game Jam 4 Weekend #9,7,0,2,2019-01-25 12:00:00,https://www.itch.io/jam/gj4w9,u,45.0,2961,Game Jam 4 Weekend #9,0,0,1
,2019-07-28 09:00:00,gamejam4weekend,Game Jam 4 Weekend #13,5,0,2,2019-07-26 12:00:00,https://www.itch.io/jam/gj4w13,u,45.0,3028,Game Jam 4 Weekend #13,0,0,1
,2019-01-06 09:00:00,gamejam4weekend,Game Jam 4 Weekend #7,4,0,2,2019-01-04 12:00:00,https://www.itch.io/jam/gj4w7,u,45.0,2762,Game Jam 4 Weekend #7,0,0,1
,2017-04-02 22:00:00,George V. Landon||lacey_lansaw||hexachlorophene||DCsquared,EKU IGDA Game Jam,5,0,2,2017-03-31 22:00:00,https://www.itch.io/jam/eku-igda-game-jam,u,48.0,38,EKU IGDA Game Jam,0,0,4
,2018-05-28 00:00:00,bluzi,Processing Game Jam #2,8,0,2,2018-05-26 00:00:00,https://www.itch.io/jam/processing-game-jam-2,u,48.0,474,Processing Game Jam #2,1,0,1
,2019-04-19 22:00:00,La_Belle_Games,Mange ta ville,2,0,2,2019-04-17 22:00:00,https://www.itch.io/jam/mange-ta-ville,u,48.0,430,Mange ta ville,0,0,1
,2019-07-15 01:00:00,Paul,Mini-jam GJA,12,0,2,2019-07-13 01:00:00,https://www.itch.io/jam/mini-jam-gja,u,48.0,73,Mini-jam GJA,0,3,1
,2017-06-10 18:00:00,Jóhannes G. Þorsteinsson,Isolation Game Jam 2017,3,0,2,2017-06-08 18:00:00,https://www.itch.io/jam/isolation-game-jam-2017,u,48.0,654,Isolation Game Jam 2017,0,0,1
,2018-03-25 22:00:00,Yukon W.,IGDA Becker Chapter April Arcade Jam 2018,2,0,2,2018-03-23 22:00:00,https://www.itch.io/jam/igda-becker-april-arcade-jam-2018,u,48.0,310,IGDA Becker Chapter April Arcade Jam 2018,0,0,1
,2019-05-12 16:00:00,Sigrid.D,48LezGameJam#1,3,0,2,2019-05-10 16:00:00,https://www.itch.io/jam/48lezgamejam1,u,48.0,185,48LezGameJam#1,0,0,1
