jam_desc_len,jam_name,jam_no_illustrations,jam_no_videos,jam_url
1034,Jr. Jam 1,0,0,https://www.itch.io/jam/jr-jam-1
1144,Dalek Jam,0,0,https://www.itch.io/jam/dalek-jam
1092,Trashy Game Jam 2017,0,0,https://www.itch.io/jam/trashy-game-jam-2017
0,Gaben Jam,0,0,https://www.itch.io/jam/no-java-comma-flash-or-unity
743,End of Summer Game Jam,0,0,https://www.itch.io/jam/esgj
982,"Pembroke Dock Beer Jam (Wales, UK)",0,0,https://www.itch.io/jam/pdbeerjam-mar25
416,Pinky Jam 2!,0,2,https://www.itch.io/jam/pinky-jam-2
631,Tabletop Jam,0,0,https://www.itch.io/jam/tabletop-jam
1006,Educational Games (technology and war),0,0,https://www.itch.io/jam/educational-games-technologyaffectingwars
631,What's Trending Gamejam,0,0,https://www.itch.io/jam/whats-trending-gamejam
7545,MAKE GAME OR KRAWG SQUASH!!,0,0,https://www.itch.io/jam/make-game-or-krawg-squash
118,Justice JAM - Cops,0,0,https://www.itch.io/jam/justice-jam-cops
758,ASCII Art Game Jam,2,0,https://www.itch.io/jam/ascii-art-game-jam
430,Mange ta ville,0,0,https://www.itch.io/jam/mange-ta-ville
462,Brazillian Journey JAM,0,0,https://www.itch.io/jam/brazillian-journey-jam
475,Spectacle,0,0,https://www.itch.io/jam/spectacle
226,Pretty Cool Jam #1,0,0,https://www.itch.io/jam/pretty-cool-jam-1
1222,The Sunday Game Jam 9,0,0,https://www.itch.io/jam/the-sunday-game-jam-9
466,Word Jam,0,0,https://www.itch.io/jam/word-jam
220,Geleia Jam 30 horas - Junho,0,0,https://www.itch.io/jam/geleiajam-junho
2409,Game Jam Done Quick,0,0,https://www.itch.io/jam/game-jam-done-quick
347,Offical Paper And Games Christmas Jam 2018,0,0,https://www.itch.io/jam/offical-paper-and-games-christmas-jam
843,30-50 Feral Tatterpigs,0,0,https://www.itch.io/jam/30-50-feral-tatterpigs
143,What Ever Floats Your Boat Jam,0,0,https://www.itch.io/jam/what-floats-your-boat-jam
499,Level Up Academy - Summer 2018 - Classic Jam,0,0,https://www.itch.io/jam/luasummerjam2018
55,The Horror Jam,0,0,https://www.itch.io/jam/the-horror-jam-2016
2695,Fabio Jam,0,0,https://www.itch.io/jam/fabio-jam
2059,Construct 2Gether! [Wario ware style] #1,0,0,https://www.itch.io/jam/construct-2gether
744,Improvement Movement Game Jam 2,3,0,https://www.itch.io/jam/imgj2
713,NES Game Jam 2,2,0,https://www.itch.io/jam/nes-jam-thingy
600,Yo no olvido el año viejo,0,0,https://www.itch.io/jam/ciao2015
954,Colors (Side Bitsy Jam),0,0,https://www.itch.io/jam/colors-side-bitsy-jam
180,Unsport Jam,0,0,https://www.itch.io/jam/unsport-jam
430,Uniquely Similar Jam,0,0,https://www.itch.io/jam/uniquely-similar-jam
691,Polish GameJam #2,0,0,https://www.itch.io/jam/polish-gamejam-2
1137,#ALTJAM,0,0,https://www.itch.io/jam/altjam
852,Meta Jam 2019,0,0,https://www.itch.io/jam/meta-jam-2019
659,Gdevelop Jam,0,0,https://www.itch.io/jam/gdevelop-jam2
2623,StoneJam,4,0,https://www.itch.io/jam/stonejam
351,Frontin Ludens 2016,0,0,https://www.itch.io/jam/frontinludens2016
1432,Blog CDJV Jam #1,0,0,https://www.itch.io/jam/blog-cdjv-jam-1
355,Low-Poly Christmas Jam,1,0,https://www.itch.io/jam/lowpolyjam
211,Raycast Summer Jam,0,0,https://www.itch.io/jam/raycast-summer-jam
741,hacking jam,0,0,https://www.itch.io/jam/hacking-jam
185,OC Tilted Game Jam 16,1,0,https://www.itch.io/jam/oc-tilted-game-jam-16
251,Tycoon Game Jam,0,0,https://www.itch.io/jam/tycoon-jam
343,BL Jam,0,0,https://www.itch.io/jam/bl-jam
432,Get a PAID asset_JAM #1,0,0,https://www.itch.io/jam/get-a-paid-asset-jam-1
294,Jam-bon,1,0,https://www.itch.io/jam/jambon
1109,ZX Sequel Jam,0,0,https://www.itch.io/jam/zx-sequel-jam
522,Game Jam Monthly - February 2018,0,0,https://www.itch.io/jam/game-jam-monthly-3
1996,Jelly's Game Jam,1,0,https://www.itch.io/jam/jelly-game-jam
166,24hrs Jam! - Geleia Edition,0,0,https://www.itch.io/jam/24hrs-jam-geleia-edition
2943,"Mermelada de juegos de mesa, rol y cartas",0,0,https://www.itch.io/jam/mermelada-de-juegos-de-mesa-rol-y-cartas
61,HEJ #5,0,0,https://www.itch.io/jam/hej-5
518,Platformer JAM '16,0,0,https://www.itch.io/jam/platformer-jam-16
1382,MUDJAM,0,0,https://www.itch.io/jam/mudjam
2742,Global Game Jam 2016,0,0,https://www.itch.io/jam/ggj
344,Woods Jam,0,0,https://www.itch.io/jam/woods
199,PCT Game Development Club's Fall Game Jam,0,0,https://www.itch.io/jam/pct-game-development-clubs-fall-game-jam
169,JamIsland @Schmiede 2016,0,0,https://www.itch.io/jam/jamisland2016
508,Fighting game jam (2?),0,0,https://www.itch.io/jam/fighting-game-jam-2
173,Unity Europe,0,0,https://www.itch.io/jam/unity-europe
261,3D to 2D Jam 2015,0,0,https://www.itch.io/jam/3d-to-2d-jam_2015
0,일주일에 게임 하나 만들기(Game A Week) 1805[01],0,0,https://www.itch.io/jam/game-a-week-180501
351,Impact Jam PK,0,0,https://www.itch.io/jam/impactjampk
388,Background Maker Jam!,0,0,https://www.itch.io/jam/background-maker-jam
215,The Co-op Jam,0,0,https://www.itch.io/jam/the-co-op-jam
359,Jam for Gay Marriage,0,0,https://www.itch.io/jam/jam-for-gay-marriage
80,Old software,0,0,https://www.itch.io/jam/old-software
786,StormJam,0,0,https://www.itch.io/jam/stormjam
274,Unity Pixel platformer,0,0,https://www.itch.io/jam/unitu547
456,PaintJam 2,2,0,https://www.itch.io/jam/paint-jam-2
660,The Office Games: The Video Game! (Jam),0,0,https://www.itch.io/jam/office-olympics
1665,Cube OS Developer Jam,0,0,https://www.itch.io/jam/cube-os-developer
667,PuzzlerJam,0,0,https://www.itch.io/jam/puzzlerjam
654,Isolation Game Jam 2017,0,0,https://www.itch.io/jam/isolation-game-jam-2017
413,Mystery Jam,1,0,https://www.itch.io/jam/maze
75,Uni Game Jam 2017  EPIC,0,0,https://www.itch.io/jam/uni-game-jam-2017-epic
888,GumballJam,0,0,https://www.itch.io/jam/gumballjam
104,Winter WonderJam,0,0,https://www.itch.io/jam/winter-wonderjam
2547,Casino,0,0,https://www.itch.io/jam/casino
190,P-u-z-z-l-e Game Jam,0,0,https://www.itch.io/jam/puzzlajamgame
0,arabic devjam,0,0,https://www.itch.io/jam/arabic-jam
0,Global Game Jam Strasbourg 2016,0,0,https://www.itch.io/jam/global-game-jam-strasbourg-2016
264,1 Color game jam,0,0,https://www.itch.io/jam/1-color
200,PuzzleScript Jam,0,0,https://www.itch.io/jam/puzzlescript-jam
350,Weekend Prototype Challenge 04,0,0,https://www.itch.io/jam/weekend-prototype-challenge-04
807,UnCooperative Jam,0,0,https://www.itch.io/jam/uncooperative-jam
632,W3 Game Jam (y18w43),0,0,https://www.itch.io/jam/w3-game-jam-y18w43
436,SONIC OC JAM,0,0,https://www.itch.io/jam/sonic-original-character-jam
263,me and ted jammy,0,0,https://www.itch.io/jam/me-and-ted-jammy
1358,Four Hour Game Jam!,0,0,https://www.itch.io/jam/four-hour-game-jam
751,StickFightGameJam,0,0,https://www.itch.io/jam/stickfightgamejam
126,Rustic Jam!,0,0,https://www.itch.io/jam/rustic-jam
264,BoGD2023 weekly jam #0,0,0,https://www.itch.io/jam/bogd2023-0
1203,Jam des Volcans,0,0,https://www.itch.io/jam/jam-des-volcans
152,Solent Spooky Jam,1,0,https://www.itch.io/jam/solent-spooky-jam
356,1st Local Multiplayer Game Jam Istanbul,0,0,https://www.itch.io/jam/1st-local-multiplayer-game-jam-istanbul
584,2015 Queer Youth Game Jam,0,0,https://www.itch.io/jam/2015-maven
351,Frontin Ludens 2017,0,0,https://www.itch.io/jam/frontinludens2017
232,Fragfest Fall Jam 2018,0,0,https://www.itch.io/jam/fragfest-fall-jam-2018
2156,30 Seconds,0,0,https://www.itch.io/jam/30secrealnerdgamerjam1
885,CPP Quarterly Game Jam Winter 2015,0,0,https://www.itch.io/jam/cppwinter2015
960,Tunneler Remake Jam,0,1,https://www.itch.io/jam/tunneler-remake-jam
0,BAM! Batch Jam,1,0,https://www.itch.io/jam/bam-batch-jam
948,Aula Arcade Jam 8,0,0,https://www.itch.io/jam/aula-arcade-jam-8
0,JailJam 2015,0,0,https://www.itch.io/jam/jailjam2015
197,Windows Jam,1,0,https://www.itch.io/jam/windows-jam
58,HEJ #1,0,0,https://www.itch.io/jam/hej-01
533,Game Jam Monthly - January 2019,0,0,https://www.itch.io/jam/game-jam-monthly-january-2019
4492,Homa Games Monthly Game Jam,0,1,https://www.itch.io/jam/hg-monthly-jam
