jam_criteria,jam_end_date,jam_host,jam_name_x,jam_no_joined,jam_no_rating,jam_no_submissions,jam_start_date,jam_url,duration,desc_len,jam_name_y,num_imgs,num_vids,num_hosts,popular
,2018-08-19 22:00:00,Kenney,Kenney Jam 2018,280,0,65,2018-08-16 15:00:00,https://www.itch.io/jam/kenney-jam-2018,79.0,1210,Kenney Jam 2018,1,0,1,Yes
,2019-01-16 06:00:00,Riley Hopkins,Record Collection 2k19,104,0,65,2019-01-01 06:00:00,https://www.itch.io/jam/recordcollection2k19,360.0,1152,Record Collection 2k19,0,0,1,Yes
,2019-07-23 06:59:59,Portland Indie Game Squad,"Summer Slow Jams July 2019: 3-Button, 3-Color Games",196,0,64,2019-07-16 03:00:00,https://www.itch.io/jam/ssj3button3color,171.99972222222223,2893,"Summer Slow Jams July 2019: 3-Button, 3-Color Games",2,0,1,Yes
,2017-11-02 06:59:59,KittyKatStar||Carrogath,Yuri Game Jam 2017,325,0,64,2017-09-01 07:00:00,https://www.itch.io/jam/yuri-game-jam-2017,1487.9997222222223,1058,Yuri Game Jam 2017,0,0,2,Yes
,2017-07-10 08:52:00,eevee,GAMES MADE QUICK??? 1½,250,0,63,2017-07-02 16:30:00,https://www.itch.io/jam/games-made-quick-one-and-a-half,184.36666666666667,1401,GAMES MADE QUICK??? 1½,0,0,1,Yes
,2019-08-07 04:00:00,Giantkiller Industries||Megan||Jamila R. Nedjadi,DREAMJAM,189,0,63,2019-07-01 05:00:00,https://www.itch.io/jam/dreamjam,887.0,4168,DREAMJAM,0,0,3,Yes
,2019-05-20 05:00:00,eggnog,TweetTweetJam 2,72,0,60,2019-05-13 06:00:00,https://www.itch.io/jam/tweettweetjam-2,167.0,792,TweetTweetJam 2,0,0,1,Yes
,2016-12-05 05:30:00,elvaq||zerofiftyone||DINOSAURSSSSSSSS||Spencer Winson,Wizard Jam 4,114,0,60,2016-11-19 20:00:00,https://www.itch.io/jam/wizard-jam-4,369.5,3533,Wizard Jam 4,0,1,4,Yes
,2018-11-16 20:00:00,eggnog,TweetTweetJam,70,0,59,2018-11-12 20:00:00,https://www.itch.io/jam/tweettweetjam,96.0,814,TweetTweetJam,0,0,1,Yes
,2017-06-19 06:59:59,zerofiftyone,Wizard Jam 5,119,0,58,2017-06-01 23:00:00,https://www.itch.io/jam/wizard-jam-5,415.9997222222222,2964,Wizard Jam 5,5,1,1,Yes
,2018-07-02 07:00:00,GameDevsQuest,GDQ One Mechanic Game Jam 4,152,0,57,2018-06-29 07:00:00,https://www.itch.io/jam/omgjam4,72.0,5605,GDQ One Mechanic Game Jam 4,0,2,1,Yes
,2019-08-01 17:00:00,Weekly Game Jam||PouleyKetchoup,Weekly Game Jam - Week 107,169,0,56,2019-07-26 17:00:00,https://www.itch.io/jam/weekly-game-jam-107,144.0,1305,Weekly Game Jam - Week 107,0,0,2,Yes
,2017-01-27 08:59:59,dreamfeel||Breogán Hackett,FLATGAME Annual 2016,163,0,56,2016-12-26 14:56:12,https://www.itch.io/jam/flatgame-annual-2016,762.0630555555556,5859,FLATGAME Annual 2016,0,0,2,Yes
,2019-03-22 23:59:59,Design By Cloud,notGDCJam 2019,191,0,55,2019-03-17 23:59:59,https://www.itch.io/jam/notgdcjam2019,120.0,2417,notGDCJam 2019,5,0,1,Yes
,2018-11-02 07:00:00,KittyKatStar||nadia nova,Yuri Game Jam 2018,251,0,55,2018-09-01 07:00:00,https://www.itch.io/jam/yuri-game-jam-2018,1488.0,1226,Yuri Game Jam 2018,0,0,2,Yes
,2019-09-12 17:00:00,Weekly Game Jam||Nekomatata||PouleyKetchoup,Weekly Game Jam - Week 113,223,0,52,2019-09-06 17:00:00,https://www.itch.io/jam/weekly-game-jam-113,144.0,1319,Weekly Game Jam - Week 113,0,0,3,Yes
,2016-12-06 04:59:59,jason.boyd,Fabuludus 2016,55,0,52,2016-11-21 22:25:33,https://www.itch.io/jam/fabuludus-2016,342.5738888888889,1013,Fabuludus 2016,0,0,1,Yes
,2019-02-17 07:59:59,J||lysander||charblar,My First Game Jam: Winter 2019,298,0,52,2019-02-02 08:00:00,https://www.itch.io/jam/my-first-game-jam-winter-2019,359.9997222222222,1431,My First Game Jam: Winter 2019,0,0,3,Yes
,2019-10-28 05:00:00,Chillennium Game Jam,Chillennium 2019,102,0,52,2019-10-04 22:30:00,https://www.itch.io/jam/chillennium,558.5,401,Chillennium 2019,0,0,1,Yes
,2018-02-01 07:59:59,Adam Le Doux,Midnight (Bitsy Jam),86,0,50,2018-01-26 08:00:00,https://www.itch.io/jam/midnight-bitsy,143.99972222222223,1093,Midnight (Bitsy Jam),0,0,1,Yes
,2018-10-28 09:00:00,kaifu,ボイロゲームジャム,64,0,50,2018-10-14 07:00:00,https://www.itch.io/jam/voiceroid-game-jam,338.0,2127,ボイロゲームジャム,0,0,1,Yes
,2016-11-04 06:59:59,KittyKatStar||Carrogath,Yuri Game Jam 2016,166,0,50,2016-10-01 07:00:00,https://www.itch.io/jam/yuri-game-jam-2016,815.9997222222222,650,Yuri Game Jam 2016,0,0,2,Yes
,2017-06-26 02:00:00,Kevin Wong,#RemakeJam,315,0,49,2017-06-19 00:00:00,https://www.itch.io/jam/remakejam,170.0,2042,#RemakeJam,0,0,1,Yes
,2017-11-07 01:00:00,hayley,✨ Self-Care Jam 2 ✨,295,0,49,2017-10-28 07:00:00,https://www.itch.io/jam/self-care-jam-2,234.0,975,✨ Self-Care Jam 2 ✨,0,0,1,Yes
,2018-12-16 18:00:00,Feldo,2-Buttons Jam 2018,220,0,47,2018-12-09 18:00:00,https://www.itch.io/jam/2-buttons-jam-2018,168.0,2911,2-Buttons Jam 2018,1,0,1,Yes
