jam_name,jam_url,jam_no_joined,jam_no_submissions
Jam Jam 2.0 Talentum online,jam-jam-2-talentum-online,35,11
FUCK CAPITALISM JAM,fuck-capitalism-jam,35,46
Unity3D en Español - Halloween + Pizza Game Jam,unity3despanol-halloweenpizza,35,12
Sex & Game Jam,sexgamejam,35,11
RGCD C64 16KB Cartridge Game Dev Compo,c64-16kb-cartridge-game-dev-compo-2019,35,20
2017 Jam of the Summer,2017-jam-of-the-summer,35,1
Optical Jam #3,optical-jam-3,35,9
The OGA Spring Game Jam 2019,the-oga-spring-game-jam,35,6
Clicker Jam,mrquickgame-clicker-jam,35,9
The End of The World,the-end-of-the-world,35,7
Babylon Jam!,babylon-jam,35,15
UDGJ #2,unofficial-defold-game-jam-2,35,8
McGame Jam 2018,mcgame-jam-2018,35,27
Clásicos de Ayer y Hoy,retroclassics,35,12
Summer Slow Jams 2: Narrative or Comic-Inspired,2016-summer-slow-jams-2,35,7
Clásicos de Ayer y Hoy,retroclassics,35,12
Optical Jam #3,optical-jam-3,35,9
Summer Slow Jams 2: Narrative or Comic-Inspired,2016-summer-slow-jams-2,35,7
The OGA Spring Game Jam 2019,the-oga-spring-game-jam,35,6
Hot Dog Jam 2017,hot-dog-jam,35,11
Video Games as Punk Rock Jam (F*ck Amazon),fuck-amazon,35,8
48 Secret Jam - September 2017,48-secret-september-2017,35,7
Make-A-Thing May 2018,make-a-thing-may-2018,34,8
DAE Game Projects Jam 2018,dae-game-projects-jam-2018,34,23
PAIN Jam #1,pain-jam-1,34,11
Weekly Game Jam - Week 11,weekly-game-jam-11,34,10
itcho jam 2018,itcho-the-goblin,34,15
Weekly Game Jam - Week 25,weekly-game-jam-25,34,8
48 Secret Jam - December 2017,48-secret-december-2017,34,5
AA Jam,aajam,34,4
Corazon Bundle Jam,corazon-bundle-jam,34,26
Any Engine Shooter,any-engine-shooter,34,7
We Can Make This Work (Probably) Game Jam,we-can-make-this-work-probably-game-jam,34,8
Saint Louis Arcade Jam 2018,stl-arcade-jam,34,21
Forge Jam III,forgejam3,34,7
Toe Jam #1,toe-jam-1,34,6
Bolt Jam #3,bolt-jam-3,34,8
Git Together 0,git-together-0,34,1
Summer Remake Jam,summer-remake-jam,34,2
Low Spec Game Jam,low-spec-game-jam,34,15
Weekly Game Jam - Week 23,weekly-game-jam-23,34,5
Confession Jam,confession-jam,33,5
make a Defense Game (like Tower Defense) Jam,make-a-defense-game-like-tower-defense,33,5
Shake Shake Jam (Prizes!),shake-and-shake-jam,33,1
Games Factory Jam 9 - OWGJ 16,games-factory-9,33,5
Short Story Game Jam,short-story-gamejam,33,5
#IndieJam,paingames,33,2
TGMBR JAM #5,tgmbr-jam-5,33,8
NM Game Jam 2016,nm-game-jam,33,18
December Rainbow Jam,december-rainbow-jam,33,2
"STRANGE LANDS, DT508",1st-years-game-2,33,30
Couch Dungeon Jam,couch-dungeon-jam,33,11
Pixel Jam,pixel-jam,33,8
Weekly Hour Game Jam - W8 2017,weekly-hour-game-jam---w8-2017,33,11
GCO Game Jam 2018,gco-game-jam-2018,33,10
choose your engine - Jam,your-engine-jam,33,9
Weekly Rainbow Jam - Week 3,weekly-rainbow-jam-3,33,2
Gamecodeur #5,gamecodeur-5,33,18
BUG Fall Jam 2018,bug-fall-jam-2018,33,24
Summer Slow Jams 3: Alternative Control Schemes or Tabletop Game,2016-summer-slow-jams-3,33,13
Sheridan Strike Jam,sheridan-strike-jam,33,4
Handmade Graphics Game Jam,handmade-graphics-game-jam,33,3
Trijam #26: Do you dare to try?,trijam-26,33,15
2D Game Jam,odg2d-jam,33,9
Pixel Jam,pixel-jam-fws,33,7
GCO Game Jam 2018,gco-game-jam-2018,33,10
Games Factory Jam 9 - OWGJ 16,games-factory-9,33,5
Weekly Game Jam - Week 37,weekly-game-jam-37,32,11
No More Sweden 2017,no-more-sweden-2017,32,25
12 Hour Jam,12-hour-jam,32,10
Siberian Game Jam 2 — Novosibirsk LDJAM #44 Gathering,sibgamejam-2,32,16
The Dave Microwave Game Jam,the-dave-microwave-game-jam,32,2
Gamecodeur #3,gamecodeur-3,32,19
April Alchemy: Tabletop RPG Jam,april-alchemy-tabletop-rpg-jam,32,8
32-MB Game Jam,32-mb-game-jam,32,7
7ª Game Jam Santa Maria,7gjsm,32,9
TigerJ's OctoBear JAM 2018,octobear-jam-2018,32,8
Indie Galactic Space Jam 2018,indie-galactic-space-jam-2018,32,23
2D Platformer,2d-platformer,32,11
Fire Jam #3,fire-jam-3,32,6
Talkative Server World Wide Jam #1,tsww-jam-1,32,7
48 Secret Jam - November - 2018,48-secret-jam-november-2018,32,9
Move only right,move-only-right,32,7
Echo (Bitsy Jam),echo-bitsy,32,13
Accessajam,accessajam,32,5
Seattle Indies Game Jam,seattle-indies-game-jam,32,18
☔⁽ᵘᵐᵇʸ⁾🐝 jam,umby-jam,32,6
miniBeansjam 2,minibeansjam2,31,15
FICTIONS INTERACTIVES - mini-jam,fictions-interactives,31,21
4ª Game Jam Santa Maria,4gjsm,31,7
Student Gamejam X,student-gamejam-x,31,21
PGG Jam - All Play: Accessibility Vol. 2,pgg-jam-all-play-accessibility,31,22
Midweek Bullet Jam,midweek-bullet-jam,31,8
Quelque Chose Jam,quelque-chose-jam,31,19
Jam de l'Avent 2017,jam-de-lavent,31,34
Huuuge Game Jam 2017,huuuge-game-jam-2017,31,23
Low Effort Winter Jam,low-effort,31,8
Weekly Game Jam - Week 24,weekly-game-jam-24,31,5
ROM Game Jam 2016,rom-game-jam-2016,31,21
Indie Bits Jam,indie-bits,31,8
The Fish Jam!,fish-jam,31,2
Dusty Old Junk,dusty-old-junk,31,12
Weekly Game Jam - Week 33,weekly-game-jam-33,31,12
Galway Game Jam 6,galwaygamejam6,31,8
Retro Jam,retro-jam-80s,31,6
(Golang) Gopher Game Jam,gopher-jam,31,4
Weekly Game Jam - Week 68,weekly-game-jam-68,31,10
Limit Keeper Jam,my-limit-is-my-strength-jam,31,8
Manifold Game Jam,manifold-game-jam,30,5
In SPACE! Jam,in-space-jam,30,3
Gamemaking Frenzy: BARFCADE,barfcade,30,32
Untitled Game Jam #6,untitled-game-jam-6,30,2
One Week Jam,one-week-jam,30,7
Sputnik Jam,sputnikjam,30,10
Conlang Jam,conlang-jam,30,1
THE TEXT-BASED ADVENTURE GAME JAM,the-text-based-adventure-game-jam,30,12
Train Jam 2015,train-jam-2015,30,29
NoJam,nojam-2019,30,6
One Week Jam,one-week-jam,30,7
Conlang Jam,conlang-jam,30,1
Science Fiction,science-fiction,30,2
KBGames 18 Card Strategy Jam,kbgames-18-card-strategy-jam,30,14
Trijam #33: Do you dare to try?,trijam-33,30,10
RPG Gamejam,rpggamejam2656689486,30,3
The Krass-N.G. Jam 5!,krassjam5,30,12
Tief 5 Day Jam 2018 (With Prizes!),5-day-jam-2018,30,5
Love Jam,love-jam,30,9
CITY SIM JAM 2016,citysimjam2016,30,10
Bleeding Tapes Game Jam #1,bleeding-tapes-game-jam-1,30,3
Sputnik Jam,sputnikjam,30,10
Buddy Jam 9,buddy-jam-9,30,4
October T-Shirt Jam! ( Win ya'self a shirt! ),october-t-shirt-jam-win-yaself-a-shirt-,30,5
Enbyjam,enbyjam,30,4
Indie Galactic Space Jam 2019,indie-galactic-space-jam-2019,30,19
New Year Jam,new-year-jam,30,5
Speedrun Game Jam (Prizes!),speedrun-game-jam,30,11
Sarasota Game Jam,sarasota-game-jam,30,8
About Bloody Time: the menstruation game jam,about-bloody-time-jam,30,6
✧*Flower Jam*✧,flower-jam,30,13
Oujevipo Contest #2 : KIDS,oujevipo-contest-2--kids,30,23
Cult of Jabrils Gamejam,cojgamejam,30,5
Seattle Indies Game Jam 2018,seattle-indies-game-jam-2018,30,23
30 min jam,30-min-jam,30,2
RPG Maker Games in 1 Hour,rpgmaker1hour,29,26
Playmaker Game Jam 2018,playmaker,29,13
Level One: JAM! 2019,level-one-game-jam-2019,29,21
Shacknews Slow Jam,shacknews-slow-jam,29,8
RPG Biz's RPG Maker Game Jam (Ca$h/Game Prizes),rpg-bizs-rpg-maker-game-jam,29,7
UDC Jam Week #3 - Destruction,udc-jam-week-3,29,8
Games Factory Jam 8,games-factory-8,29,15
Qazi Jam 11,qazijam11,29,14
Not a Jam!,not-a-jam,29,22
7D3D #2,7d3d-2,29,2
Game Creation Organization Online Jam Year 2,game-creation-organization-online-jam-year-2,29,7
Moth (Bitsy Jam),moth,29,17
Weekly Hour Game Jam - W17 2017,weekly-hour-game-jam---w17-2017,29,6
48 Secret Jam - March 2018,48-secret-jam-march-2018,29,6
Hack Jam 2016,hack-jam-2016,29,2
Startit Game Jam #1,startit-game-jam,29,13
Pixel Weekend Jam #3,pixel-weekend-jam-3,29,6
YouTube Game Jam,youtube-game-jams,29,13
Getting Weird With It Jam,getting-wierd-with-it-jam,29,11
Stencyl Jam #18,stencyl-jam-18,29,16
2.03 - JamNATION + Global Game Jam,203-jamnation-globalgamejam,29,13
Dril Jam,dril-jam,29,17
RPG Maker Games in 1 Hour,rpgmaker1hour,29,26
The Minus Jam (Minus Mechanic Jam),minus-mechanic-jam,29,5
Kiwijam18,kiwijam18,29,15
7D3D #2,7d3d-2,29,2
FireTruck Game Jam (July 2017),firetruck2,29,9
Dril Jam,dril-jam,29,17
miniBeansJam 3,minibeansjam3,29,15
New Jam City,new-jam-city,29,8
Shacknews Slow Jam,shacknews-slow-jam,29,8
Weekly Game Jam - Week 35,weekly-game-jam-35,28,6
Games Factory Jam 7,games-factory-7,28,7
Bolt Jam #2,boltjam-2,28,9
Weekly Game Jam - Week 34,weekly-game-jam-34,28,10
Gamecodeur Game Jam #14,gamecodeur-gamejam-14,28,13
Monster Mix and Mash Jam,monster-mix-and-mash-jam,28,9
No downloads required,no-downloads-required,28,15
Ceci n'est pas un jeu 2018,ceci-nest-pas-un-jeu-2018,28,22
#notGGJ19,notggj19,28,7
#SampleJam,samplejam,28,6
MakeAGameFrench 2016,makeagamefrench2016,28,14
One resource jam 2017,one-resource-jam,28,8
CrazyCram Game Jam,crazycram-jam,28,5
Women Game Jam BR #2,wgjbr-2,28,19
Kodsnacks Tvåveckorssylt,kodsnacks-2veckorssylt,28,12
Foxie Jam,uwu,28,7
UoP GameJam 2018,uopgamejam2018,28,21
The Hedgehog: The Movie: The Game Jam,the-hedgehog-the-movie-the-game-jam,28,9
$50 Prize - Modd.io Game Jam Vol. 3,50-prize-moddio-game-jam-vol-3,28,3
Minecraft Jam,minecraft-jam,28,5
Weekly Game Jam - Week 14,weekly-game-jam-14,28,11
Style Jam,style-jam,28,4
Chrismas Jam,chrismas-jam,28,9
VGDC Fall 2018 game projects,vgdc-fall-2018-game-projects,28,25
TigerJ(am),tigerjam,28,8
7D3D #3,7d3d-3,27,5
Cactus Jam,cactus-jam,27,4
Odd Weekend Game Jam 15,odd-weekend-game-jam-15,27,6
Monthly Game Jam #1,monthly-game-jam-1,27,4
GameIt! Jam,gameit-jam,27,7
RebootApalooza,rebootapalooza,27,7
Homa Games EPIC Game Jam,hg-game-jam-01,27,5
NotMoeJam #5 - Decay,notmoejam-5,27,2
Bitsy Community Secret Santa!!!,bitsy-secret-santa-2018,27,27
Enter the (Multi-User) Dungeon,enterthemud2,27,4
Super Love Jam 2016,super-love-jam-2016,27,9
Jam Orígenes,jam-origenes,27,3
Datapack Jam 2 - A New Custom Entity,datapack-jam-2,27,4
/r/WebGames Game Jam,webgames-game-jam,27,9
Scrappy Jam,scrappy-jam,27,12
10ª Game Jam Santa Maria,10gjsm,27,10
Scrappy Jam,scrappy-jam,27,12
Game Breaker's Toolkit Jam,game-breakers-toolkit-jam,27,15
Only Card Game Allowed,only-card-game,27,2
Weekly Hour Game Jam - W24 2017,weekly-hour-game-jam---w24-2017,27,6
Met Open Access Jam,metropolitan-museum-of-art-jam,27,4
Datapack Jam 2 - A New Custom Entity,datapack-jam-2,27,4
5ª Game Jam UNIVALI,5-game-jam-univali,27,14
10ª Game Jam Santa Maria,10gjsm,27,10
Weekly Game Jam - Week 9,weekly-game-jam-9,27,4
Enter the (Multi-User) Dungeon,enterthemud2,27,4
48 Secret Jam,48-secret-jam,27,2
Bolt Jam #4,bolt-jam-4,27,7
IndieGalactic2017,indiegalactic2017,27,19
NotMoeJam #5 - Decay,notmoejam-5,27,2
TyTyTheMan Game Jam #1,tytytheman-game-jam-1,27,29
Hits Playtime 2018,hits-playtime-2018,26,21
Indie Dev Jam en Español #4,indie-dev-jam-es-4,26,9
Stout-IGDA Fall 2018 Game Jam,stout-f18-game-jam,26,19
Pixeler's Jam,pixelers-jam,26,6
Mouse Movement Jam,mouse-movement,26,10
Circle Of Life Game Jam,circle-of-life,26,1
Summer Jam,summer-jam,26,24
Watch + Jam,watch-and-jam,26,11
SAE Game Jam,sae-game-jam,26,6
Make-A-Thing Sept 2016,make-a-thing-16-09,26,4
Puzzle Game Vote Jam,puzzle-game-jam,26,3
The Trash Jam 2019! By C&D Cardboard Games!,trashjam2019,26,9
Indie Dev Jam en Español #5,indie-dev-jam-es-5,26,8
Faust Game Jam 2018,faust-game-jam,26,9
Les Game Jams du RIJV #3 : Le Self Care,les-game-jams-du-rijv-3-self-care,26,6
No Touch Screen Or Mouse Challenge,no-touch-screen-chalange,26,6
French Game Jam (Trinity - Season 1),fgj-s1-trinity,26,8
IndieDevDay2 GameJam,indiedevday2gamejam,26,7
Untitled Game Jam #2,untitled-game-jam-2,26,8
Score Wars Game Jam,score-wars-game-jam,26,8
Christmas break jam,christmas-break-jam,26,5
Phony Island,phony-island,26,10
St. Louis Game Dev Duel 2016,game-dev-duel-2016,26,10
Spooky Game Jam 2017,spooky-game-jam-2017,26,10
STL Scatterjam October 2017,stl-scatterjam-october-2017,26,18
The Krass-N.G. Jam 8!,krassjam8,26,8
IGDA Becker Chapter Asset Jam 2018,asset-jam,26,11
Everything But The Game jam,everythingbutthegame,26,1
Boteco Jam,boteco-jam-1,26,10
French Game Jam #6 (Récompenses),french-game-jam-6,26,6
Summer of Fast-to-Complete Games,fast-to-complete-games,26,12
Games Factory Jam,games-factory-2,26,9
JF 48-Hour Gamejam,jf-48-hour-gamejam,26,6
Odd Week Long Game Jam 3,odd-week-long-game-jam-3,26,6
Waypoint Community Game Jam 2018: Big Boy Season,big-boy-season,25,9
IFRJ Game Jam,ifrjam,25,8
Giant ROM 2,giant-rom-2,25,23
Missile Command Throwback,missile-command-throwback-,25,10
The Code Monkeys Game Jam,the-code-monkeys-game-jam,25,4
Familiar Game Jam X,familiargamejamx,25,14
Holiday Rainbow Jam,holidayrainbowjam,25,4
Weekly Hour Game Jam - W9 2017,weekly-hour-game-jam---w9-2017,25,12
Mermelada de Leyendas,leyendas,25,3
Weekly Hour Game Jam - W3 2017,weekly-hour-game-jam---w3-2017,25,11
GameJam Francophone Episode 1,gamejam-francophone-episode-1,25,6
Intellivision Jam,intellivision,25,9
Watch + Jam 2: The Inevitable Sequel!,watch-and-jam-2,25,9
Jupiter Hadley's Birthday Jam,jupiter-hadleys-birthday-jam,25,14
Gamethon 2018,gamethon-2018,25,23
Yorkshire Jam,yorkshire-jam,25,14
Game Jam Francophone Episode 5,game-jam-francophone-episode-5,25,15
Hits Playtime 2016,hits-playtime-2016,25,22
"I can't be bothered to write a whole book, so I'll just write the blurb for the back cover writing jam",i-cant-be-bothered-to-write-a-whole-book-so-ill-just-write-the-blurb-for-the-back-cover-writing-jam,25,11
Discworld Open Jam,discworld-open-jam,25,2
"2018 Life.Love. Game Design Challenge ($3,000 in prizes)",2018-lifelove-game-design-challenge,25,7
Trijam #36: A 3 hour game jam,trijam-36,25,9
Ceci n'est pas un jeu 2017,ceci-nest-pas-un-jeu-2017,25,12
Otherships Jam,otherships-jam,25,9
Trans Mix Tape Jam!!!!,trans-mix-tape-jam,25,5
ECTOCOMP: Le Grand Guignol,ectocomp17lgg,25,12
French Game Jam #2,french-game-jam-2,25,3
GWJam 2017,gwjam2017,25,2
CCAW JAM,ccaw-jam,25,8
UCSC Back to School Jam,ucsc-back-to-school-jam,25,10
Jamtober 2018,jamtober2018,25,2
Ljubljana Ludum Dare #44 Game Jam,ljubljana-ludum-dare-44-game-jam,25,11
Waypoint Community Game Jam 2018: Big Boy Season,big-boy-season,25,9
48 Secret Jam - October 2017,48-secret-jam-october-2017,25,5
Reverse Jam,reverse-jam,25,6
The Krass-N.G. Jam 6!,krassjam6,25,10
Bratislava Game Jam 2017,bratislava-game-jam-2017,25,17
Bolt Jam #5,bolt-jam-5,25,8
DystopiJam,dystopijam,25,1
BGSjam X,bgsjam-x,25,8
Creative Cutscene Contest,c3,25,10
Playcrafting + Extra Life Game Jam,extra-life-game-jam,25,8
Utah Indie Game Jam 2015,utah-indie-game-jam-2015,25,11
Broken Engine Jam!,broken-engine-jam,25,2
Side Quest IFMS,sidequestifms,25,6
San Diego Game Jam,sdgamejam,25,13
Construct French Game Jam 5,cfgj5,25,11
GDL - March Madness Jam,gdl-march-madness-jam-2018,24,5
Simple Is Better,simple-is-better,24,6
Fatec Ourinhos Jam,fatec-ourinhos-jam,24,9
Yoobee Game Jam,yoobee,24,25
4 Hour Jam #2,4-hour-jam-2,24,19
Simple Is Better,simple-is-better,24,6
BotecoJAM#03,botecojam03,24,4
MeGa Health Jam 2018,megahealthjam2018,24,17
Weekend Crazy Jam,weekend-crazy-jam,24,7
Games For Kids Jam,games-for-kids-jam,24,2
Trash Game Jam,trash-game-jam,24,14
Oddball jam,oddball-jam,24,6
Cork GameCraft 2019,cork-gamecraft-2019,24,5
Mermelada Inmersiva: ¿Importa? No podrías confirmarlo de todos modos,mermevr,24,8
FireTruck Game Jam,firetruck,24,4
BL Jam,blgamejam,24,3
Classic Zelda Jam,classic-zelda-jam,24,1
Weekly Hour Game Jam - W12 2017,weekly-hour-game-jam---w12-2017,24,11
72 Pin Connector Retro Jam,72pc-jam-1,24,8
LightNight Jam,lightnight-jam,24,2
"Scratch Jam 2017 - Topic is ""Sky""",scratch-jam-2017,24,10
🎤💛Eurovijam💙✨,eurovijam,24,1
NGD Game Jam 001,ngd-game-jam,24,3
Hacker Game Jam 2017,hacker-game-jam-2017,24,1
Weekly Game Jam - Week 13,weekly-game-jam-13,24,5
Jerementor Game Jam,jerementor-game-jam,24,3
Nazi SLAM! Jam,nazislam,24,3
Weekly Hour Game Jam - W15 2017,weekly-hour-game-jam---w15-2017,24,7
Buddy Jam 4,buddy-jam-4,24,2
"Edu-Jam 1, $250 in Prizes",edu-jam-med-school-style,24,6
Watch yourself progress Jam,watch-yourself-progress,24,5
FliperJam 2018,fliperjam-2018,24,19
1ª Mad Jam,1-mad-jam-2018,24,6
AGDG clicker jam,agdg-clicker-jam,24,5
GDL - March Madness Jam,gdl-march-madness-jam-2018,24,5
HiJam,hijam,24,8
Fatec Ourinhos Jam,fatec-ourinhos-jam,24,9
Just f**king finish it!,just-fking-finish-it,24,3
Jam Jam 2.0 Talentum presencial,jam-jam-2-talentum-presencial,24,22
Delthor Jam #3,delthor-jam-3,24,10
VGAD Winter 2019 Game Jam (STRING),vgad-winter-2019-game-jam,24,7
Spring Jam 2017!,springjam2017,24,10
Wholesome Jam,wholesome-jam,24,7
Optical Jam #6,optical-jam-6,23,2
Processing Jam #1,processing-jam-1,23,5
June Rainbow Jam 2018,june-rainbow-jam-2018,23,1
Unreal Engine 4 Jam,ue-jam,23,1
Weekly Hour Game Jam - W4 2017,weekly-hour-game-jam---w4-2017,23,12
Input Optional Jam,input-optional-jam,23,10
Eko Game Jam,eko-game-jam,23,10
Indie Galactic Space Jam 2016,indiegalactic2016,23,17
PUBLIC DOMAIN 1923 REMIX JAM,pd1923-remix-jam,23,6
LGBT Writing Jam 2018!,lgbt-writing-jam-2018,23,5
Absurd Aspect Ratio Jam,absurd-aspect-ratio-jam,23,6
Absurd Aspect Ratio Jam,absurd-aspect-ratio-jam,23,6
Jeux Debout,jeux-debout,23,16
Titan Boss Jam,titan-boss-jam,23,2
Unlikely inspiration,unlikely-inspiration,23,7
Pixel Weekend Jam #1,pixel-weekend-jam-1,23,8
The Imperfect Jam,the-imperfect-jam,23,5
Game Dev Network: Apple Jam,game-dev-network-apple-jam,23,5
Whaaat!? the Shmup!?,whaaat-jam,23,17
Evil Jam,evil,23,3
UAT Founder's Game Jam 2018,uat-founders-game-jam-2018,23,9
Short and Easy Jam,short-and-easy-jam,23,14
Shacknews Game Jam,shacknews-jam,23,8
WikiHow Dreams Jam,wikihow-dreams-jam,23,4
Unreal Engine 4 Jam,ue-jam,23,1
Low Poly Diorama,low-poly-diorama,23,1
Art Game Jam,art-game-jam,23,16
Winnipeg Game Jam 2016,winnipeg-game-jam-2016,23,17
Weekly Hour Game Jam - W10 2017,weekly-hour-game-jam---w10-2017,23,8
Optical Optimize #2,optical-optimize-2,23,6
Optical Jam #6,optical-jam-6,23,2
Food Jam!,food-jam,23,7
STL Scatterjam 2015,stlscatterjam2015,23,22
Survive the Game Jam 4,survive-the-game-jam-4,23,5
June Rainbow Jam 2018,june-rainbow-jam-2018,23,1
Processing Jam #1,processing-jam-1,23,5
Input Optional Jam,input-optional-jam,23,10
Les Game Jams du RIJV #1: Cassons les clichés !,les-game-jams-du-rijv-1-cassons-les-clichs-,23,10
French Game Jam #5 (Récompenses),french-game-jam-5,22,5
More Is Better Jam,moreisbetter,22,36
French Game Jam #4 (Récompenses),french-game-jam-4,22,4
January Retro Jam,january-retro-jam,22,8
Punk Jam,punkjam,22,22
Improve My Game Jam #4,imgj4,22,4
"French Game Jam ""Spéciale Noël"" Récompense pour les gagnants",french-game-jam-speciale-noel,22,6
"Scratch Jam 2018 - Topic is ""Evolution""",scratch-jam-2018,22,7
AGDG Microgame Jam,agdg-microgame-jam,22,21
"""Women are too hard to animate"" jam",wathtajam,22,23
Pixels X Paper Closing Jam,pixels-x-paper,22,21
Beginner Jam,beginner-jam,22,7
Dust-Off Jam,dust-off-jam,22,8
Weekly Rainbow Jam - Week 5,weekly-rainbow-jam-5,22,5
Gift Jam,gift-jam,22,5
Hidden Meaning Jam,hidden-meaning-jam,22,7
The Local Multiplayer Jam,the-local-multiplayer-jam,22,7
BabJam! 2,babjam-2,22,4
Abandoned Game Jam #2,abandoned-game-jam-2,22,2
Game Jam Done Quick 2,game-jam-done-quick-2,22,2
Squeaky Clean Game Jam,squeaky,22,5
Living in an incremental game game jam,living-in-an-incremental-game-game-jam,22,3
BBQ Game Jam'16,bbq-game-jam16,22,15
"French Game Jam ""Spéciale Noël"" Récompense pour les gagnants",french-game-jam-speciale-noel,22,6
Sonora Game Jam 2018,sonora-game-jam-2018,22,6
Buddy Jam 2,buddy-jam-2,22,5
Weekly Hour Game Jam - W21 2017,weekly-hour-game-jam---w21-2017,22,6
Beginner Jam,beginner-jam,22,7
AlphaLab Winter Slow-Jam Showcase,alphalab-winter-slow-jam-showcase,22,7
GGJ 2019 Unisinos,ggj19-unisinos,22,12
NES Retro Jam,nes-retro-jam,22,2
Goose James,goose-james,22,5
Cleveland Summer Game Jam 2017,cleveland-summer-game-jam-2017,22,16
Indie Dev Jam Español #2,indie-dev-jam-es-2,22,11
Game Grumps Game Jam,game-grumps-game-jam,22,5
Squeaky Clean Game Jam,squeaky,22,5
Games For Our Future Game Jam 2019,games-for-our-future-game-jam-2019,22,11
honk  pageant,honk-honk-pageant,22,1
Jamvember,jamvember,22,2
Pixels X Paper Closing Jam,pixels-x-paper,22,21
JamNATION - Camp Papillon,jamnation-camp-papillon,22,16
Paranormal Studios -Writer's Jam-,paranormal-studios--writers-jam-,22,2
GAMERella 2015,gamerella2015,22,12
ECTOCOMP: La Petite Mort,ectocomp17lpm,22,12
Cat and Octopus Jam,cat-and-octopus-jam,22,3
Dream Jam 2017,dream-jam-2017,22,1
"Scratch Jam 2018 - Topic is ""Evolution""",scratch-jam-2018,22,7
“MIND ‹RE› SET”: 이주와 통합에 대한 디지털적 접근,mind-re-set-,22,14
Monster Mash! 2014,monster-mash,22,17
Game Rodeo,game-rodeo,22,21
Furry Game Jam 2019,furry-game-jam-2019,22,5
JamForLeelah,jamforleelah,22,21
UDC Jam Week #6 - Time Manipulation,udc-jam-week-6,21,2
Peace Game Jam,peace-game-jam,21,6
Git Together 1,git-together-1,21,1
BGSjam 12,bgsjam-12,21,9
2016 Athens Game Jam,2016-athens-game-jam,21,12
Magical Realism Jam,magical-realism-jam,21,7
Weekly Hour Game Jam - W25 2017,weekly-hour-game-jam---w25-2017,21,5
STONER GAMES GAME JAM,stonergames,21,6
Kansas State University Annual Game Jam 2019,kansas-state-university-annual-game-jam-2019,21,20
First game jam,first-game-jam,21,4
Jamvember 2018,jamvember2018,21,4
PGG JAM: All Play - Accessibility Vol 3,pgg-jam-all-play-accessibility-vol-3,21,18
2# Mesa de Papelão,2-mesa-de-papelo,21,5
Quad Jam Spring 2019,quad-jam-spring,21,6
STL Scatterjam 2016,stlscatterjam2016,21,16
GrimJam,grimjam,21,2
Emotional (Digital) Mecha Jam,emotional-digital-mecha-jam,21,12
Vertex Jam,vertex-jam,21,1
Odd Weekend Game Jam 17,odd-weekend-game-jam-17,21,7
Leave No Stone Unturned (Idiom Game Jam),idiomgamejam,21,6
Will Gem Jam 1,will-gem-jam1,21,7
Bitsy Zine Jam,bitsy-zine-jam,21,7
I San Valero Game Jam,sanvalerogamejam2018,21,7
HKJ Game Jam #2,hkj-game-jam-2,21,1
POEM HAM NOW,poem-ham-now,21,8
Unity3D en Español - Game Jam: Muerte Instantánea,unity3despanol-gamejam2,21,10
Pride Month Jam,pride-month-jam,21,10
Bootleg Extra Jam,bootleg-extra-credits-jam,21,10
Motor City June Jam,motor-city-june-jam,21,8
August 2016 Lisp Game Jam,august-2016-lisp-game-jam,21,5
Peace Game Jam,peace-game-jam,21,6
BBQ Game Jam 2018,bbq-game-jam-2018,21,15
Sidescroller Game Jam,sidescroller-game-jam,21,4
Electric Eyebat - Just For Fun Halloween Game Jam,electric-eyebat-halloween,21,7
GAMERella 2017,gamerella17,21,13
Weekly Hour Game Jam - W23 2017,weekly-hour-game-jam---w23-2017,21,6
Unity3D en Español - Game Jam 2018,unity-spanish-gamejam-2k18,21,10
Trijam #34: A 3 hour game jam,trijam-34,21,7
Create Jam Fall Edition 2017,create-jam-fall-2017,21,16
BGSjam 12,bgsjam-12,21,9
Spooky Jam 3: GLITCH,spooky-jam-3,21,5
Game Jam - Ludifier la ville,gamejam-ludifier-la-ville,21,11
The Krass-N.G. Jam 7!,krassjam7,21,9
UDC Jam Week #6 - Time Manipulation,udc-jam-week-6,21,2
sixdayjam,sixdayjam,21,6
JamNATION - Opéra de Montréal,jam-nation-opera,21,14
Halloween Game Jam 2017,halloween-game-jam-2017,21,8
UAT Founder's Game Jam 2019,uat-founders-game-jam-2019,21,8
First game jam,first-game-jam,21,4
PGG JAM: All Play - Accessibility Vol 3,pgg-jam-all-play-accessibility-vol-3,21,18
Git Together 1,git-together-1,21,1
STONER GAMES GAME JAM,stonergames,21,6
Fambruary 14th Jam,fambruary-14th-jam,20,2
Storyless Story,storyless-story,20,1
"The Organising at Work Game ""Jam""",organising-at-work,20,7
Cessation of Existence Jam,cessationofexistencejam,20,7
ZeroGravityJam,zerojam,20,12
SipsJam 2016,sipsjam-2016,20,5
Giant ROM,giantrom,20,20
EGaDS! Fall 2018 Game Jam,egads-fall-2018-game-jam,20,14
GAMERella 2018,gamerella2018,20,13
Ceci n'est pas un jeu 2019,ceci-nest-pas-un-jeu-2019,20,16
FPS-First Person Shooter Jam,fps-first-person-shooter-jam,20,5
Bisexual Pride Jam 2018,bisexual-pride-jam-2018,20,1
GGJ Nashville 2017,ggj-nashville-2017,20,8
Smartphones & Mouvements,smartphones--mouvements,20,7
Game Jam Francophone Episode 7,game-jam-francophone-episode-7,20,12
