jam_name,jam_url,jam_no_joined,jam_no_submissions
Paint Jam 2018,paint-jam-2018,122,29
Godot Wild Jam #9,godot-wild-jam-9,121,24
Strawberry Jam 3,strawberry-jam-3,121,37
Metroidvania Month 3,metroidvania-month-3,120,15
I Wasn't Gonna Make This Anyway Jam,i-wasnt-gonna-make-this-anyway-jam,120,11
inkJam 2019,inkjam-2019,119,25
Wizard Jam 5,wizard-jam-5,119,58
Godot Wild Jam #7,godot-wild-jam-7,119,27
GameDevNetwork: The Big Festive Game Jam V2 || Theme: Your Choices Matter,gamedevnetwork-the-big-festive-game-jam-v2,119,10
1-Button Jam 2018,1-button-jam,119,41
40 Hours Game Jam,games-factory-1,118,33
Godot Wild Jam #4,godot-wild-jam-4,118,15
Wowie Jam!,wowie-jam,117,49
Weekly Game Jam - Week 104,weekly-game-jam-104,117,26
JamCraft 2,jamcraft2,117,17
GAMES MADE QUICK??? III,games-made-quick-iii,116,35
Godot Wild Jam #11,godot-wild-jam-11,116,20
Tomb Raider Jam,tomb-raider-jam,116,8
Pastel Jam!,pastel-jam,116,36
Mini Jam 26: Storms,mini-jam-26-storms,115,23
Ren'Py Jam,renpy-jam,115,28
LÖVE Jam 2018,love2d-jam-2018,115,30
Wizard Jam 4,wizard-jam-4,114,60
Light Novelber 2018,lightnovelber2018,114,29
8 Bits to Infinity ~ Platformer Week,platformer-week,114,37
GDQ One Mechanic Game Jam 3,omgjam3,114,40
Mini Jam 18: Dreams,mini-jam-18-dreams,113,32
GameDevNetwork: Blueberry Jam,game-dev-network-blueberry-jam,113,20
Cool Jams Inc - A Cool Games Inc Game Jam,cool-jams-inc,113,23
Anything Goes Jam [8 Bits to Infinity],anything-goes-jam-8-bits-to-infinity,112,31
Weekly Game Jam - Week 87,weekly-game-jam-87,112,30
#IWantToCreate Contest,iwanttocreate,111,26
☆Space Bunny Jam☆,space-bunny-jam,111,25
FloppyJam,floppyjam,111,25
Dev Squad Jam,dev-squad-jam,110,31
The Pen & Paper Game Jam,the-pen-paper-game-jam,110,29
$103 Adventure Game Challenge,103-adventure-game-challenge,110,16
Bring Out Your Dead,bring-out-your-dead,109,77
GameDevNetwork - Book Jam,game-dev-network-book-jam,109,24
TigerJ(am) #2,tigerjam-2,109,25
Mini Jam 27: Celebration,mini-jam-27-celebration,108,26
Pixel Weekend Jam #2,pixel-weekend-jam-2,108,31
Mini Jam 14 -Elements-,mini-jam-14-elements-,108,25
Dream Diary Jam,dream-diary-jam,108,34
Pixel Weekend Jam #2,pixel-weekend-jam-2,108,31
Save the Environment Game Jam 2018-2019!,save-the-environment,107,19
Giant ROM 4,giantrom4,106,46
OpenGameArt Game Jam,opengame-art-game-jam,106,15
Weekly Game Jam - Week 103,weekly-game-jam-103,106,22
The Fall All-OGA Game Jam! 2018,fall-all-oga-game-jam-2018,106,21
Fantasy Console Game Jam #3,fantasy-console-game-jam-3,106,27
Weekly Game Jam - Week 76,weekly-game-jam-76,106,24
Godot Wild Jam #3,godot-wild-jam-3,106,15
SCREAMWORLD,screamworld,106,26
Godot Wild Jam #5,godot-wild-jam-5,105,19
Yaoi Game Jam,yaoijam,105,20
Weekly Game Jam - Week 81,weekly-game-jam-81,105,27
Pride Month: Tabletop Gaymes,pride,105,35
TOJam 9,tojam9,105,105
Dev Squad Jam: Replicate,dev-squad-jam-replicate,105,23
Maximum Monster Month! 2,maximum-monster-month-2,105,13
trans gal jam 2,trans-gal-jam-2,105,23
Dev Squad Jam: ONE ROOM,dev-squad-jam-5,105,25
GDC Dev  - Chill Jam 2018-19,gdc-dev-chill-jam,104,18
Svilupparegiochi | Jam #1,svilupparegiochi-jam-1,104,27
Record Collection 2k19,recordcollection2k19,104,65
Godot Wild Jam #8,godot-wild-jam-8,103,22
Weekly Game Jam - Week 91,weekly-game-jam-91,103,16
GDQ One Mechanic Game Jam 5,omgjam5,103,35
Yuri Game Jam,yuri-game-jam,103,34
StareOutGames Hypercasual GameJam #1,stareoutgamejam,102,15
Mini Jam 13 -Villains-,mini-jam-13-villains-,102,25
Geta Game Jam 6,geta-game-jam-6,102,23
Chillennium 2017,chillennium17,101,89
YOUjam,youjam,101,13
Weekly Game Jam - Week 105,weekly-game-jam-105,101,25
Nordic Game Jam 2018,ngj18,101,82
CFN Game Jam,cfn-gamejam,101,19
Weekly Game Jam - Week 51,weekly-game-jam-51,100,23
Weekly Game Jam - Week 95,weekly-game-jam-95,100,25
Bored Pixels Jam 2,bored-pixels-jam-2,100,19
TOJam 10,tojam-10,100,99
Homemade Game Jam,homemade-game-jam,100,15
2019 New Years Jam,2019-new-year,99,19
100 Lines of Code GameMaker Jam,100-lines-of-code-gamemaker-game-jam,99,32
Ace Jam,ace-jam,99,24
Weekly Game Jam - Week 79,weekly-game-jam-79,99,13
PIZZA JAM! (pizza prize),pizzza-jam-pizza-prize,98,26
1+1=3 Jam,oneplusone,98,11
Mini Jam 6 -BOSS RUSH-,mini-jam-6th-edition,98,20
Weekly Game Jam - Week 93,weekly-game-jam-93,97,20
★ TyranoBuilder Summer Game Jam 2018! ★,tyranojam18,97,20
★ TyranoBuilder Summer Game Jam 2018! ★,tyranojam18,97,20
GAMES MADE QUICK??? 2.5,games-made-quick-25,97,24
Weekly Game Jam - Week 93,weekly-game-jam-93,97,20
IRXJam17,irxjam17,96,21
GAMES MADE QUICK??? 2.0,games-made-quick-2,96,28
Gamemaking Frenzy: DUPLICADE,duplicade,96,60
Gamecodeur Game Jam #20,gamecodeur-gamejam-20,96,45
Jamfuser,jamfuser,96,13
Weekly Game Jam - Week 115,weekly-game-jam-115,95,24
BYOG 2018,byog-2018,95,22
Mini Jam 9 - Back To School -,mini-jam-9-back-to-school-,95,28
Women Game Jam Latinamerica,wgjlatam,95,45
tortle jam,tortle-jam,95,27
VR-Jam 2019,vr-jam-2k19,95,11
Haunted PS1 Summer Spooks,the-haunted-ps1-summer-spooks,95,22
Mini Jam 29: Ninjas,mini-jam-29-ninjas,95,31
Scratch Jam,scratch-jam,94,15
Resurrect an Old Project Etc. Jam,rope,94,18
Mini Jam 21: Stories,mini-jam-21-stories,94,14
ZX Spectrum BASIC Jam,zx-spectrum-basic-jam,94,24
Castles & Ruins (Bitsy Jam),ruins,93,31
Mini Jam 8 - Fantasy -,mini-jam-8-fantasy,93,25
Weekly Game Jam - Week 59,weekly-game-jam-59,93,11
Nordic Game Jam 2015,ngj15,93,93
Greek MytholoJam 2018,greek-mytholojam-2018,93,15
Bored Pixels Jam 4,bored-pixels-jam-4,93,10
Orbital Game Jam,orbital-game-jam,93,11
Weirder Stuff 2,weirder-stuff-2,92,17
GDL - Spooky Jam,gdl-spooky-jam,92,14
Wizard Jam 2016,wizard-jam-2016,92,47
Cyberpunk Jam 2.0,cyberpunkjam2,92,9
Glinny's Cauldron Jam,glinnys-cauldron-jam,92,16
Train Jam 2018,train-jam-2018,92,81
#RPGenesis 2019,rpgenesis2019,92,20
JamCraft 2018,jamcraft,92,18
🍉 Melon Game Jam 🍉,melon-game-jam,91,31
Songtember,songtember2,91,63
PaperJam 2018,paperjam-2018,91,16
Games Factory Jam & Weekly Game Jam,games-factory-4,91,20
GB30 Jam [8 Bits to Infinity],gb30-jam,90,21
Games Factory Jam 5,games-factory-5,90,22
Retro Platformer Jam (Prizes!),retro-platformer-jam,90,15
WAG Challenge!,wag-challenge,90,85
Twine and National Novel Writing Month,twine-and-national-novel-writing-month,90,1
trans gal jam 3,trans-gal-jam-3,89,18
Taku's Mini Jam,takus-mini-jam,89,18
ACGS Start of Summer (S.O.S) Jam,acgs-sos-jam,89,19
Emulated Dreams,emulated-dreams,89,16
Weekly Game Jam - Week 45,weekly-game-jam-45,89,27
Lisp Game Jam 2019,lisp-game-jam-2019,88,19
RPG Maker Jam,rpgmakerjam,88,32
SCREAM CITY,scream-city,88,14
Weekly Game Jam - Week 61,weekly-game-jam-61,88,25
Lisp Game Jam 2019,lisp-game-jam-2019,88,19
APRIL FOOL'S JAM,april-fools-jam,88,18
HELP: War Child - Charity Game Jam,help-war-child,88,3
Gamecodeur Game Jam #18,gamecodeur-gamejam-18,87,49
SalvageJam,salvagejam,87,13
Weekly Game Jam - Week 83,weekly-game-jam-83,87,14
GAMES MADE QUICK??? III-2,games-made-quick-iii-2,87,28
GameJamTopia,gamejamtopia,87,35
Sykoo's Community Game Jam,sykoos-game-jam,86,13
Rayuela de Arena - Gamejam Narrativa,rayuela-de-arena-gamejam-narrativa,86,21
Midnight (Bitsy Jam),midnight-bitsy,86,50
Sykoo's Polyrealm Halloween Jam,sykoos-halloween-jam,86,20
Mini Jam 37: Engineering,mini-jam-37-engineering,86,12
Fusion Wars - The Programming Menace,fusion-wars-the-programming-menace,85,17
Philosophy Game Jam,philosophy-game-jam,85,10
June to July Metroidvania Jam •$100 Cash Prize•,june-to-july-metroidvania-jam-100-cash-prize,85,8
Weekly Game Jam - Week 63,weekly-game-jam-63,85,24
Mini Jam 19: Mysteries,mini-jam-19-mysteries,85,27
Mini Jam 35: Vikings,mini-jam-35-vikings,85,14
Weekly Game Jam - Week 84,weekly-game-jam-84,85,25
Lartu's Mini-RPG One Week Jam II,lartujam-ii,85,13
"Me, Myself, And My RPG Game Jam",me-myself-and-my-rpg-game-jam,85,33
Mini Jam 34: Balance,mini-jam-34-balance,84,27
SCREAM JAM,screamjam,84,24
GameMaker Studio 2 - BetaJam 2!,betajam2,84,20
Writing Antholojam: Overtime Cats,overtimecats,84,32
Weekly Game Jam - Week 62,weekly-game-jam-62,84,16
Big Bad Game Jam 2019,big-bad-game-jam,84,32
Yaoi Game Jam 2019,yaoijam19,84,12
Ritual (Bitsy Jam),ritual-bitsy,84,24
The EGX & Rock Paper Shotgun Game Jam,the-egx-2018-gamejam,84,23
Libre Baskerville Jam,libre-baskerville-jam,83,55
Anything but human-jam,anything-but-human-jam,83,13
Desert Bus for Hope 2018 Game Jam,dbgj2018,83,27
ScoreSpace Jam #6 [Presented by Shacknews],scorejam6,83,22
Weekly Game Jam - Week 72,weekly-game-jam-72,83,17
Mini Jam 31: Movies,mini-jam-31-movies,83,18
Useless Simulation Jam,useless-simulation-jam,83,22
$101 Adventure Challenge,101-adventure-challenge,82,13
Utopia Jam,utopia-jam,82,10
Virtus Community Game Jam,virtus-community-game-jam,82,6
Game D3V JAM,game-d3v-jam,82,9
Mapemounde,mapemounde2019,82,26
Short Rest,short-rest,81,33
Weekly Game Jam - Week 49,weekly-game-jam-49,81,24
Weekly Game Jam - Week 82,weekly-game-jam-82,81,19
Dog Jam 2k19,dogjam2k19,81,11
Grow Jam,grow-jam-2017,81,15
Dog Jam 2k19,dogjam2k19,81,11
Ghost (Bitsy Jam),ghost-bitsy,81,43
42 Jam,42-jam,80,23
Goon Jam,goonjam,80,63
Games vs Nazis,games-vs-nazis,80,24
Ocean (Bitsy Jam),ocean-bitsy,80,34
Merry #Corgsmas Corgi Game Jam,corgsmas,80,9
polar bear jam,polar-bear-jam,80,17
🛋️ Couch CO-OP Game Jam,couch-co-op,80,4
Bric-A-Brac (Bitsy Jam),bric-a-brac,80,29
Weekly Game Jam - Week 77,weekly-game-jam-77,79,17
Archaeology (Bitsy Jam),archaeology-bitsy,79,42
OLC CODEJAM 2018,olc-codejam-2018,79,18
