game_tag,count
downwell,3
floatie,1
grid,20
jrpg,166
rpg maker,679
shooter-platform,1
logger,1
second-person,7
vlog,1
gameboy-jam,1
invaders,7
keypad,1
smartphones,1
google-cardboard,6
virtual reality (vr),439
gamepa,1
warlock,2
2d-platformer,34
vampire,95
abbey,1
monk,7
fireworks,5
coconut,2
ninjarope,1
rope,8
cartoony,4
switchball,1
pilone,1
spooky,307
bugs,15
space-bugs,1
cult classic,45
kidando,2
procjam,412
mining,20
48hours,7
bloody,5
puzzle-shooter,2
fighter,7
art,49
brush,2
ghost,23
parry,1
demo,53
endless-runner,56
flying,32
princess,10
gameboyjam,3
spooky-cute,1
colours,3
lights,2
rainbow,18
tron,9
unicycle,3
cartoon,52
4x,14
water,33
4-color,3
baseball,9
home-run,1
home-run-derby,1
hotseat,5
destruction,94
diplomacy,2
game,110
balls,14
rotation,14
four-colours,4
aangband,1
keys,2
removed,1
zork,1
moon-patrol,3
retro-remake,1
tank,5
chubby,1
perma death,64
underwater,132
upgrade,4
wave,17
smartphone,5
sandbox,115
ega,2
gamemakers-tookit,1
infinite,12
score,10
silhouette,4
lunar-lander,3
rogue-lite,1
time,35
alone,11
tennis,15
ggj15,2
gmktjam,1
mechanics,3
inventory,3
particles,5
rockets,4
mowing,1
strategy rpg,71
90s,13
agdg,11
auto-scroller,2
radical,4
crafting,133
smoothies,1
tomatoes,1
farm,10
farmboy,1
harvest-moon,1
2,4
arca,2
figh,1
desktop,6
no-keyboard,1
operating-system,2
rgb,8
brackeys-game-jam-2,4
chris-trenary,2
gabriel-velicu,1
jump,18
off-the-wall,1
wall-jump,1
space sim,100
brackeys,42
bounce,10
bouncing,3
explode,3
styleized,1
marble,11
ue4,101
cloud,9
surfing,7
3rd-person,8
gbdk,8
rom,15
sampled-sound,1
is,2
motorbike,4
intense,4
keyboard,40
companions,1
dragons,118
harlowe,1
rescue,7
twine,571
luar,1
bad-graphics,2
humor,32
brackeysgamejam,18
cupid,5
dawn,3
down,1
love-is-blind,5
nature,137
blind-game,2
blind-love,1
football,32
codeine,1
trip,6
trifunctional-games,2
loveisblind,6
choices,6
boyleandbubble,1
game-boy,2
hiddenpuncher,1
witch,42
vikings,9
scoring,7
anime,342
igmc,29
tactical rpg,36
digging,4
gmkt,1
mine,9
minerals,1
motherload,1
recoil,1
underground,9
un,1
blender,47
canyon,1
corre,2
lowpoly,18
maker,3
mark,4
neil,2
matching,10
moon,25
twitchplays,1
3-colour-pallete,1
downwell-inspired,1
rage,44
extracredits,20
drm free,37
dumb,9
why,3
stars,29
colony-sim,2
movil,1
dreams,141
boosts,1
colors,14
move,1
screen-shake,2
superpowers,18
pinball,28
backers,1
speculating,1
wagering,1
math,54
battlecars,1
retrowave,11
strange,11
flippers,2
items,5
cozy,88
tyrano,2
brackeysjam,2
toy,23
dialog,3
multi-languade,1
worldwide,1
social,18
balloon-co,1
gamevertisement,1
radcool,1
subversive,1
welcome,1
ecgj2019,1
better-than-kris,1
crap,5
racist,1
retarded,1
you-probably-shouldnt-play-this,1
ludum dare 37,40
witches,11
pin-ball,1
dimp,1
dimply,1
dimpsy,1
dimzy,1
shaders,6
brazil,15
child,7
trade,4
connecting,1
