game_tags,count,percentage
dashing,1,0.001994614540740002
two-colors,72,0.14361224693328015
bonus-whales,1,0.001994614540740002
brick,3,0.005983843622220006
bricks,5,0.00997307270370001
too-many-bricks,1,0.001994614540740002
tower-stack,1,0.001994614540740002
vertical-scroll,1,0.001994614540740002
whale,10,0.01994614540740002
finite-runner,2,0.003989229081480004
power-suit,1,0.001994614540740002
turrets,2,0.003989229081480004
gtmk,3,0.005983843622220006
gamemaker-studio-2,3,0.005983843622220006
and,3,0.005983843622220006
n,2,0.003989229081480004
swap,1,0.001994614540740002
boss battle,208,0.4148798244739204
wizards,57,0.11369302882218012
dwayne,1,0.001994614540740002
johnson,1,0.001994614540740002
mike,1,0.001994614540740002
the-rock,1,0.001994614540740002
pinball,28,0.05584920714072006
waves,22,0.043881519896280044
blow,3,0.005983843622220006
crazy-taxi,2,0.003989229081480004
gmtk-2017,1,0.001994614540740002
pirates,172,0.34307370100728035
sink-pirates,1,0.001994614540740002
godotengine,27,0.05385459259998005
black and white,293,0.5844220604368205
puzzle-game,11,0.021940759948140022
quick,34,0.06781689438516007
maze,317,0.6322928094145807
bad-voice-acting,1,0.001994614540740002
compliments,2,0.003989229081480004
dogs-but-not-really,1,0.001994614540740002
not-fighting,1,0.001994614540740002
pacifisim,1,0.001994614540740002
potato,6,0.011967687244440013
portal,17,0.03390844719258004
target,2,0.003989229081480004
mac,16,0.03191383265184003
split screen,57,0.11369302882218012
blind,34,0.06781689438516007
text,23,0.045876134437020044
gamemakertoolkit,1,0.001994614540740002
adaptive,1,0.001994614540740002
light,49,0.0977361124962601
tile,2,0.003989229081480004
gun,20,0.03989229081480004
survive,16,0.03191383265184003
trash,23,0.045876134437020044
arena,86,0.17153685050364018
beat,4,0.007978458162960007
edm,2,0.003989229081480004
memory,69,0.13762840331106013
skill,15,0.02991921811110003
no-guns,1,0.001994614540740002
polarity-switching,1,0.001994614540740002
reflect-bullets,1,0.001994614540740002
slowmo,2,0.003989229081480004
speed,29,0.05784382168146006
markbrown,2,0.003989229081480004
rock,20,0.03989229081480004
defense,16,0.03191383265184003
existential,7,0.013962301785180015
levimoore_dk,1,0.001994614540740002
zerorare_com,1,0.001994614540740002
detective,128,0.25531066121472024
camera-perspective,1,0.001994614540740002
electronic-music,2,0.003989229081480004
tower,11,0.021940759948140022
electricity,8,0.015956916325920015
java,19,0.03789767627406004
